,Beijing,Tianjin,Shijiazhuang,Taiyuan,Hohehot,Shenyang,Changchun,Harbin,Shanghai,Nanjing,Hangzhou,Hefei,Fuzhou,Nanchang,Jinan,Zhengzhou,Wuchang,Changsha,Guangzhou,Nanning,Chongqing,Chengdu,Guiyang,Kunming,Xi'an,Lanzhou,Xining,Yinchuan,Urumchi
Beijing,0,137,277,508,667,741,1046,1288,1463,1160,1589,1074,2334,1449,497,689,1225,1587,2294,2566,2087,2042,2539,3178,1159,1811,2092,1343,3768
Tianjin,137,0,419,650,804,728,1033,1275,1326,1023,1452,973,2197,1444,360,831,1367,1729,2436,2708,2230,2185,2681,3320,1301,1948,2235,1480,3911
Shijiazhuang,277,419,0,231,871,1126,1431,1673,1267,964,1393,914,1915,1293,301,412,948,1310,2017,2289,1810,1765,2262,2901,923,1599,1815,1547,3491
Taiyuan,508,650,231,0,640,1255,1560,1802,1498,1195,1624,1145,2521,1544,532,577,1179,1537,2243,2515,1997,1493,2460,2593,651,1327,1543,1316,3219
Hohehot,667,804,871,640,0,1408,1713,1955,2130,1827,2256,1777,3303,2674,1164,1362,1898,2256,2962,3234,2637,2133,3100,3233,1291,1144,1360,676,3036
Shenyang,741,728,1126,1255,1408,0,305,547,2054,1751,2180,1701,2925,2151,1088,1538,1972,2334,3041,3313,2834,2789,3286,3925,1906,2552,2839,2084,4515
Changchun,1046,1033,1431,1560,1713,305,0,242,2359,2056,2485,2006,3230,2456,1393,1843,2277,2639,3346,3618,3139,3094,3591,4230,2211,2857,3144,2389,4820
Harbin,1288,1275,1673,1802,1955,547,242,0,2601,2298,2727,2248,3472,2698,1635,2085,2519,2881,3588,3860,3381,3336,3833,4472,2453,3099,3386,2631,5062
Shanghai,1463,1326,1267,1498,2130,2054,2359,2601,0,303,201,615,1180,844,966,998,1235,1207,1810,2082,2516,2351,2053,2699,1509,2185,2401,2355,4077
Nanjing,1160,1023,964,1195,1827,1751,2056,2298,303,0,429,312,1174,838,663,695,1231,1201,1804,2076,2093,2048,2054,2693,1206,1882,2098,2052,3774
Hangzhou,1589,1452,1393,1624,2256,2180,2485,2727,201,429,0,451,979,643,1092,1124,1202,1006,1609,1881,2315,2552,1852,2498,1635,2311,2527,2481,4065
Hefei,1074,973,914,1145,1777,1701,2006,2248,615,312,451,0,1196,478,613,645,1181,1226,1829,2210,2043,1998,2076,3098,1156,1832,2048,2002,3724
Fuzhou,2334,2197,1915,2521,3303,2925,3230,3472,1180,1174,979,1196,0,622,1837,1649,1013,985,1588,1860,2301,2805,1838,2477,2389,3065,3281,3235,4957
Nanchang,1449,1444,1293,1544,2674,2151,2456,2698,844,838,643,478,622,0,1137,927,391,419,1022,1294,1735,2239,1272,1911,1412,2088,2304,2258,4391
Jinan,497,360,301,532,1164,1088,1393,1635,966,663,1092,613,1837,1137,0,666,1202,1564,2156,2428,2064,2019,2516,3119,1177,1853,2069,1840,3745
Zhengzhou,689,831,412,577,1362,1538,1843,2085,998,695,1124,645,1649,927,666,0,536,898,1605,1877,1398,1353,1850,2489,511,1187,1403,1357,3079
Wuchang,1225,1367,948,1179,1898,1972,2277,2519,1235,1231,1202,1181,1013,391,1202,536,0,362,1069,1341,1233,1737,1314,1953,1047,1723,1939,1893,3615
Changsha,1587,1729,1310,1537,2256,2334,2639,2881,1207,1201,1006,1226,985,419,1564,898,362,0,707,979,1419,1923,956,1595,1405,2081,2297,2251,3973
Guangzhou,2294,2436,2017,2243,2962,3041,3346,3588,1810,1804,1609,1829,1588,1022,2156,1605,1069,707,0,1314,2023,2527,1560,2199,2111,2787,3003,2957,4679
Nanning,2566,2708,2289,2515,3234,3313,3618,3860,2082,2076,1881,2210,1860,1294,2428,1877,1341,979,1314,0,1328,1832,865,1504,2383,3059,3275,3229,4951
Chongqing,2087,2230,1810,1997,2637,2834,3139,3381,2516,2093,2315,2043,2301,1735,2064,1398,1233,1419,2023,1328,0,504,463,1102,1346,1676,1892,1846,3530
Chengdu,2042,2185,1765,1493,2133,2789,3094,3336,2351,2048,2552,1998,2805,2239,2019,1353,1737,1923,2527,1832,504,0,967,1100,842,1172,1388,1342,3026
Guiyang,2539,2681,2262,2460,3100,3286,3591,3833,2053,2054,1852,2076,1838,1272,2516,1850,1314,956,1560,865,463,967,0,639,1809,2139,2355,2309,3993
Kunming,3178,3320,2901,2593,3233,3925,4230,4472,2699,2693,2498,3098,2477,1911,3119,2489,1953,1595,2199,1504,1102,1100,639,0,1942,2272,2488,2442,4126
Xi'an,1159,1301,923,651,1291,1906,2211,2453,1509,1206,1635,1156,2389,1412,1177,511,1047,1405,2111,2383,1346,842,1809,1942,0,676,892,846,2568
Lanzhou,1811,1948,1599,1327,1144,2552,2857,3099,2185,1882,2311,1832,3065,2088,1853,1187,1723,2081,2787,3059,1676,1172,2139,2272,676,0,216,468,1892
Xining,2092,2235,1815,1543,1360,2839,3144,3386,2401,2098,2527,2048,3281,2304,2069,1403,1939,2297,3003,3275,1892,1388,2355,2488,892,216,0,684,2108
Yinchuan,1343,1480,1547,1316,676,2084,2389,2631,2355,2052,2481,2002,3235,2258,1840,1357,1893,2251,2957,3229,1846,1342,2309,2442,846,468,684,0,2008
Urumchi,3768,3911,3491,3219,3036,4515,4820,5062,4077,3774,4065,3724,4957,4391,3745,3079,3615,3973,4679,4951,3530,3026,3993,4126,2568,1892,2108,2008,0
