city,population
Beijing,9496688
Tianjin,5313702
Shijiazhuang,1930579
Taiyuan,2538336
Hohehot,990954
Shenyang,4344933
Changchun,2696430
Harbin,3455065
Shanghai,12720701
Nanjing,3447184
Hangzhou,2451319
Hefei,1462828
Fuzhou,1981083
Nanchang,1669679
Jinan,2585986
Zhengzhou,2490838
Wuchang,6559426
Changsha,2122873
Guangzhou,6868736
Nanning,1354576
Chongqing,5676406
Chengdu,3821511
Guiyang,1829565
Kunming,2478580
Xi'an,3645322
Lanzhou,1815338
Xining,854466
Yinchuan,578362
Urumchi,1727712
